Wrong,Correct,Effective
Eritrea,Eritrea,Eritrea
Ethiopia,Ethiopia,Ethiopia
Greece,Greece,Greece
Iraq,Iraq,Iraq
Israel,Israel,Israel
Jordan,Jordan,Jordan
Lebanon,Lebanon,Lebanon
Palestinian Territory,Palestinian Territory,Palestinian Territory
South Sudan,South Sudan,South Sudan
Sudan,Sudan,Sudan
Syria,Syria,Syria
Turkey,Turkey,Turkey
Uganda,Uganda,Uganda
Andorra,Andorra,Andorra
France,France,France
Liechtenstein,Liechtenstein,Liechtenstein
Monaco,Monaco,Monaco
Switzerland,Switzerland,Switzerland
Belgium,Belgium,Belgium
Germany,Germany,Germany
Luxembourg,Luxembourg,Luxembourg
Netherlands,Netherlands,Netherlands
Albania,Albania,Albania
Austria,Austria,Austria
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
Croatia,Croatia,Croatia
Czech Republic,Czech Republic,Czech Republic
Denmark,Denmark,Denmark
Hungary,Hungary,Hungary
Italy,Italy,Italy
Montenegro,Montenegro,Montenegro
Poland,Poland,Poland
San Marino,San Marino,San Marino
Serbia,Serbia,Serbia
Slovakia,Slovakia,Slovakia
Slovenia,Slovenia,Slovenia
North Macedonia,North Macedonia,North Macedonia
Vatican City,Vatican City,Vatican City
Norway,Norway,Norway
Sweden,Sweden,Sweden
Belarus,Belarus,Belarus
Bulgaria,Bulgaria,Bulgaria
Estonia,Estonia,Estonia
Finland,Finland,Finland
Georgia,Georgia,Georgia
Latvia,Latvia,Latvia
Lithuania,Lithuania,Lithuania
Moldova,Moldova,Moldova
Romania,Romania,Romania
Ukraine,Ukraine,Ukraine
Afghanistan,Afghanistan,Afghanistan
Bahrain,Bahrain,Bahrain
India,India,India
Iran,Iran,Iran
Kuwait,Kuwait,Kuwait
Maldives,Maldives,Maldives
Nepal,Nepal,Nepal
Oman,Oman,Oman
Pakistan,Pakistan,Pakistan
Qatar,Qatar,Qatar
Saudi Arabia,Saudi Arabia,Saudi Arabia
Somalia,Somalia,Somalia
Sri Lanka,Sri Lanka,Sri Lanka
Tajikistan,Tajikistan,Tajikistan
Turkmenistan,Turkmenistan,Turkmenistan
United Arab Emirates,United Arab Emirates,United Arab Emirates
Yemen,Yemen,Yemen
Armenia,Armenia,Armenia
Azerbaijan,Azerbaijan,Azerbaijan
Kazakhstan,Kazakhstan,Kazakhstan
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
Uzbekistan,Uzbekistan,Uzbekistan
Christmas Island,Christmas Island,Australia
Cocos Islands,Cocos Islands,Australia
Indonesia,Indonesia,Indonesia
Timor-Leste,Timor-Leste,Timor-Leste
Australia,Australia,Australia
Nauru,Nauru,Nauru
New Caledonia,New Caledonia,France
Norfolk Island,Norfolk Island,Australia
Papua New Guinea,Papua New Guinea,Papua New Guinea
Solomon Islands,Solomon Islands,Solomon Islands
Tuvalu,Tuvalu,Tuvalu
Vanuatu,Vanuatu,Vanuatu
Cambodia,Cambodia,Cambodia
Laos,Laos,Laos
Malaysia,Malaysia,Malaysia
Myanmar,Myanmar,Myanmar
Singapore,Singapore,Singapore
Thailand,Thailand,Thailand
Vietnam,Vietnam,Vietnam
Bangladesh,Bangladesh,Bangladesh
Bhutan,Bhutan,Bhutan
China,China,China
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam
Philippines,Philippines,Philippines
South Korea,South Korea,South Korea
Mongolia,Mongolia,Mongolia
North Korea,North Korea,North Korea
Guam,Guam,United States
Japan,Japan,Japan
Marshall Islands,Marshall Islands,Marshall Islands
Micronesia,Micronesia,Micronesia
Northern Mariana Islands,Northern Mariana Islands,United States
Palau,Palau,Palau
Russian Federation,Russian Federation,Russian Federation
Spain,Spain,Spain
Canarias,Canarias,Spain
Bolivia (Plurinational State of),Bolivia,Bolivia
CÃ´te dâ€™Ivoire,Cote d'Ivoire,CÃ´te d'Ivoire
Democratic People's Republic of Korea,North Korea,North Korea
Democratic Republic of the Congo,Democratic Republic of Congo,Dem. Rep. Congo
Iran (Islamic Republic of),Iran,Iran
Lao People's Democratic Republic,Laos,Laos
Micronesia (Federated States of),Micronesia,Micronesia
Republic of Korea,South Korea,South Korea
Republic of Moldova,Moldova,Moldova
The former Yugoslav Republic of Macedonia,North Macedonia,North Macedonia
Sudan (until 2011),Sudan,Sudan
Syrian Arab Republic,Syria,Syria
Timor,Timor-Leste,Timor-Leste
United Kingdom of Great Britain and Northern Ireland,United Kingdom,United Kingdom
United Republic of Tanzania,Tanzania,Tanzania
United States of America,United States,United States
Venezuela (Bolivarian Republic of),Venezuela,Venezuela
Viet Nam,Vietnam,Vietnam
USA,United States,United States
UK,United Kingdom,United Kingdom
UAE,United Arab Emirates,United Arab Emirates
North Macedonia,Macedonia,Macedonia
S. Korea,South Korea,South Korea
Ivory Coast,Ivory Coast,Ivory Coast
DRC,Democratic Republic of Congo,Dem. Rep. Congo
Cabo Verde,Cape Verde,Cape Verde
Réunion,Reunion,Reunion
CAR,Central African Republic,Central African Republic
Curaçao,Curaçao,Curaçao
Channel Islands,Channel Islands,Channel Islands
Sint Maarten,Saint Martin,Saint Martin
Turks and Caicos,Turks and Caicos Islands,Turks and Caicos Islands
St. Vincent Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Diamond Princess,Diamond Princess,Diamond Princess
St. Barth,St. Barth,St. Barth
Caribbean Netherlands,Caribbean Netherlands,Caribbean Netherlands
Macao,Macau,Macau
Vatican City,Vatican,Vatican
Saint Pierre Miquelon,Saint Pierre Miquelon,Saint Pierre Miquelon
Western Sahara,Western Sahara,Western Sahara
MS Zaandam,MS Zaandam,MS Zaandam
Timor-Leste,Timor,Timor
